year,usestatus,percentage,postschool,school,employed,student,dole,home,retired,volunteer,pension,other,english,lote,eca,ecb,ecc,ecd,ece,city,innereg,outerreg,remote,nevermarry,divorce,marrypartner,indige,nonindige,singlekids,couplekids,parentsadults,singlesnokids,dinks,other,hetero,homobi,notsureother
1,0,62.6,57.2,68.9,53.2,75.2,50.6,59.2,85.9,0,55.3,63,60.3,88.5,65.1,65.3,64.2,60.5,59.5,62.5,64.4,61,51.8,59.8,67.3,62.7,47.1,62.7,40.8,50.5,73.9,62.7,31,69,62.7,31,69
2,0,60.4,55.2,67.2,51.1,70.9,56,55.9,85,73.8,57,56.9,58,85.2,64,61.8,60.4,59.5,57.1,60.6,61.2,59.9,50.8,59.4,65.6,60,46.5,60.8,39.9,49.3,73.9,57.1,69.4,65.4,60.4,35.7,74.8
3,0,58.4,52.9,67.5,48.8,74.4,55.5,56.1,79.2,73,52.4,61.6,55.6,78.9,61.6,59.7,57.4,57.5,56.3,59.1,58,55.9,49.9,57.8,47.4,58.6,39.8,49.8,67.2,49.8,67.2,54.4,65.4,64.4,58.1,37.2,68.4
4,0,57.5,52.9,65.8,48.8,72.3,57.1,55,74.8,62.6,49.4,63.6,54.1,82.3,60.8,58.7,58.1,54.3,55.7,58.2,56.6,56.6,47.8,56.7,58.6,57.6,45.3,57.8,38.4,50.6,65.1,53.1,62.2,63.6,57.8,32.9,66.9
1,1,24.1,28.8,17.2,31.6,7.9,25.6,32.1,8.6,0,25.6,21.6,25.8,5.6,21.1,23.4,22.2,26.2,26,23.4,26.2,26,23.7,23.8,16.7,22.2,27.8,24.2,41.5,38.8,18.9,19.4,18.8,16.5,24.7,26.2,12.1
2,1,24.9,30.3,18,33.1,9.7,19.1,33.8,8.9,15.7,23.7,26.3,26.9,7.4,20.9,22.7,26,26.5,27.7,24.6,24.9,25,31.9,16.1,21.9,29.5,28.5,26.6,37.5,38.9,22.6,20.5,23.6,15.3,27.6,24.2,10.5
3,1,26.6,31.5,18.8,34.4,9.8,20,34.6,13.7,15.8,23.1,23.5,28.7,12.3,22.5,25.4,27.7,27.9,28.7,26,27.9,31.4,16.2,23.3,31.6,28.5,28.6,37.5,38.9,22.6,20.5,23.6,15.3,27.6,27.8,25.5,15.3
4,1,26.9,31.3,19.7,33.5,12.1,19.3,35.2,18.2,24.1,26.7,23.9,29.5,10.1,23.1,25.4,26.8,29,30.2,26.1,28.6,29.1,27.3,18,26.3,31.3,27.7,26.9,38,37.4,25.7,22.3,25.4,16.2,27.8,25.5,15.3
1,2,13.4,14,13.9,15.1,16.9,23.8,8.8,5.6,0,19.1,15.4,13.9,5.8,13.8,11.4,13.6,13.3,14.5,13.8,11.8,12.8,20.6,23.5,10.5,9.5,24.4,13.1,17.7,10.7,7.2,21.9,9.7,17,12.6,42.8,18.8
2,2,14.7,14.5,14.9,15.8,19.4,24.9,10.3,6.1,10.4,19.3,16.8,15.1,15.5,13.6,13.3,14,15.2,14.8,13.9,15,17.2,24.4,12.5,10.4,25,14.2,20.9,10.8,9.3,22.6,10.3,20.3,13.9,25.7,16.5,16.5
3,2,15,15.6,13.7,16.8,15.7,24.5,9.3,7,11.1,24.5,14.9,15.6,8.8,15.9,15,14.9,14.6,15,14.9,14.1,16.7,18.7,25.7,25.9,14.3,10.7,24.1,14.8,22.7,11.3,10.2,25.1,11,14.2,38.6,21
4,2,15.6,15.8,14.5,17.6,15.6,23.6,9.9,7,13.2,23.9,12.4,16.4,7.6,16.2,15.9,15.1,16.7,14.1,15.6,14.9,14.4,24.8,25.3,15.1,11.1,27,15.3,23.6,11.9,9.2,24.6,12.4,20.2,14.5,41.7,17.8
